color_description,created_at,current_price,discount_amount,discount_percent,group_key,image_url,messaging,original_price,price,price_display,product_code,product_type,product_url,promo_display,promo_message,source_url,subtitle,target,title,badge
Apricot Agate/White/White/White,"Mon, 24 Nov 2025 15:11:45 GMT",21.97,3.03,12,amK08Yh7,https://static.nike.com/a/images/t_default/a0897fe4-d937-4295-a297-6b0b2c024bd4/G+NK+DF+TEMPO+SHORT.png,Recycled Materials,25,$21.97,"$21.97 (was $25, 12% off)",848196-844,discount,https://www.nike.com/t/tempo-big-kids-girls-dri-fit-running-shorts-amK08Yh7/848196-844,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Big Kids' (Girls') Dri-FIT Running Shorts,Nike Sale US,Nike Tempo,Recycled Materials
Black/Black/Black,"Mon, 24 Nov 2025 15:10:22 GMT",161.97,28.03,14,BVqnkV,https://static.nike.com/a/images/t_default/bbbwgncnxexhwgbz8qbp/NIKE+AIR+MAX+2017.png,Extra 25% w/ BFRIDAY,190,$161.97,"$161.97 (was $190, 14% off)",849559-004,discount,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-004,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Men's Shoes,Nike Sale US,Nike Air Max 2017,
Light Bone/Matte Silver/Off White,"Mon, 24 Nov 2025 15:10:22 GMT",142.97,47.03,24,BVqnkV,https://static.nike.com/a/images/t_default/189285d7-da7f-445d-ac2e-d41f2c3591f2/NIKE+AIR+MAX+2017.png,Extra 25% w/ BFRIDAY,190,$142.97,"$142.97 (was $190, 24% off)",849559-005,discount,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-005,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Men's Shoes,Nike Sale US,Nike Air Max 2017,
White/Pure Platinum/Black,"Mon, 24 Nov 2025 15:10:22 GMT",134.97,55.03,29,BVqnkV,https://static.nike.com/a/images/t_default/9caabd31-67b5-4ce6-84c4-b2cd35f10292/NIKE+AIR+MAX+2017.png,Extra 25% w/ BFRIDAY,190,$134.97,"$134.97 (was $190, 29% off)",849559-100,discount,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-100,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Men's Shoes,Nike Sale US,Nike Air Max 2017,
Binary Blue/Obsidian/Black,"Mon, 24 Nov 2025 15:10:22 GMT",142.97,47.03,24,BVqnkV,https://static.nike.com/a/images/t_default/ac1b7cd0-40bd-4342-9e32-95268ee200d3/NIKE+AIR+MAX+2017.png,Extra 25% w/ BFRIDAY,190,$142.97,"$142.97 (was $190, 24% off)",849559-405,discount,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-405,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Men's Shoes,Nike Sale US,Nike Air Max 2017,
Team Red/Dark Grey/Black,"Mon, 24 Nov 2025 15:10:22 GMT",161.97,28.03,14,BVqnkV,https://static.nike.com/a/images/t_default/4818da06-de79-4831-914c-703f959c59e6/NIKE+AIR+MAX+2017.png,Extra 25% w/ BFRIDAY,190,$161.97,"$161.97 (was $190, 14% off)",849559-603,discount,https://www.nike.com/t/air-max-2017-mens-shoes-BVqnkV/849559-603,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Men's Shoes,Nike Sale US,Nike Air Max 2017,
White/Black/Wolf Grey/White,"Mon, 24 Nov 2025 15:11:22 GMT",44.97,20.03,30,4VTnX79v,https://static.nike.com/a/images/t_default/ae9e9dd7-ae16-4e3d-bc1a-f56c8a222661/B+NSW+WR+JKT+HD.png,Extra 25% w/ BFRIDAY,65,$44.97,"$44.97 (was $65, 30% off)",850443-102,discount,https://www.nike.com/t/sportswear-windrunner-big-kids-boys-loose-hip-length-hooded-jacket-4VTnX79v/850443-102,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Big Kids' (Boys') Loose Hip-Length Hooded Jacket,Nike Sale US,Nike Sportswear Windrunner,
Carbon Heather,"Mon, 24 Nov 2025 15:11:15 GMT",35.97,8.03,18,JC6g1L,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a8eea567-8b1a-458e-807a-373856763ffa/JUMBO+JUMPMAN+SHORT+SET.png",Extra 25% w/ BFRIDAY,44,$35.97,"$35.97 (was $44, 18% off)",85C138-GEH,discount,https://www.nike.com/t/jordan-little-kids-jumpman-2-piece-shorts-set-JC6g1L/85C138-GEH,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Jumpman 2-Piece Shorts Set,Nike Sale US,Jordan,
Starfish,"Mon, 24 Nov 2025 15:12:36 GMT",35.97,8.03,18,8TzfTC,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/aff6a2e4-6db5-4e38-8e2f-f21aa523f847/JORDAN+23+JERSEY+SET.png",Extra 25% w/ BFRIDAY,44,$35.97,"$35.97 (was $44, 18% off)",85C919-N4V,discount,https://www.nike.com/t/jordan-23-little-kids-jersey-set-8TzfTC/85C919-N4V,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Jersey Set,Nike Sale US,Jordan 23,
Black,"Mon, 24 Nov 2025 15:11:15 GMT",75.97,24.03,24,CEWj41y8,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ec35a04a-125e-447b-86c8-685b81bb9a2e/23+JACQUARD+FILL++JACKET.png",Extra 25% w/ BFRIDAY,100,$75.97,"$75.97 (was $100, 24% off)",85D138-023,discount,https://www.nike.com/t/jordan-little-kids-23-jacquard-filled-jacket-CEWj41y8/85D138-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' 23 Jacquard Filled Jacket,Nike Sale US,Jordan,
Black,"Mon, 24 Nov 2025 15:11:07 GMT",15.97,9.03,36,0gDIQCnh,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5a77b28d-b2f4-497c-bca9-adb1b948cee7/JORDAN+MESH+PE+SHORT.png",Extra 25% w/ BFRIDAY,25,$15.97,"$15.97 (was $25, 36% off)",85D153-023,discount,https://www.nike.com/t/jordan-little-kids-mesh-pe-shorts-0gDIQCnh/85D153-023,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Mesh PE Shorts,Nike Sale US,Jordan,
Gym Red,"Mon, 24 Nov 2025 15:11:07 GMT",15.97,9.03,36,0gDIQCnh,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1ff13148-07b0-461b-9ec5-4f29ade86deb/JORDAN+MESH+PE+SHORT.png",Extra 25% w/ BFRIDAY,25,$15.97,"$15.97 (was $25, 36% off)",85D153-R78,discount,https://www.nike.com/t/jordan-little-kids-mesh-pe-shorts-0gDIQCnh/85D153-R78,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Mesh PE Shorts,Nike Sale US,Jordan,
Washed Teal,"Mon, 24 Nov 2025 15:11:34 GMT",12.97,7.03,35,ZXbwSZ,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ce6bd7d6-92cf-4b82-9ac0-9bc8007ddddc/JUMPMAN+AIR+EMB.png",Extra 25% w/ BFRIDAY,20,$12.97,"$12.97 (was $20, 35% off)",85D266-B5P,discount,https://www.nike.com/t/jordan-little-kids-jumpman-air-embroidered-t-shirt-ZXbwSZ/85D266-B5P,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Jumpman Air Embroidered T-Shirt,Nike Sale US,Jordan,
Carbon Heather,"Mon, 24 Nov 2025 15:11:34 GMT",17.97,2.03,10,ZXbwSZ,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/23183595-2944-4d90-9559-289b3cc214e0/JUMPMAN+AIR+EMB.png",Extra 25% w/ BFRIDAY,20,$17.97,"$17.97 (was $20, 10% off)",85D266-GEH,discount,https://www.nike.com/t/jordan-little-kids-jumpman-air-embroidered-t-shirt-ZXbwSZ/85D266-GEH,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Jumpman Air Embroidered T-Shirt,Nike Sale US,Jordan,
Lemon Twist,"Mon, 24 Nov 2025 15:11:34 GMT",13.97,6.03,30,ZXbwSZ,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c54999de-a36c-4cbd-a39d-3f9a1a4afdb4/JUMPMAN+AIR+EMB.png",Extra 25% w/ BFRIDAY,20,$13.97,"$13.97 (was $20, 30% off)",85D266-Y0G,discount,https://www.nike.com/t/jordan-little-kids-jumpman-air-embroidered-t-shirt-ZXbwSZ/85D266-Y0G,⭐ Extra 25% w/ BFRIDAY,Extra 25% w/ BFRIDAY,https://www.nike.com/w/sale-3yaep,Little Kids' Jumpman Air Embroidered T-Shirt,Nike Sale US,Jordan,
